cases.0.samples.0.submitter_id	cases.0.submitter_id	file_id
TCGA-27-2521-01A	TCGA-27-2521	69531d59-6508-4074-a63a-27b047121681
TCGA-19-1390-01A	TCGA-19-1390	e676c661-cae3-4755-a90f-e632a3d82850
TCGA-27-1830-01A	TCGA-27-1830	56c0c169-5480-4d14-b0d7-bd4214d0e7cf
TCGA-32-1970-01A	TCGA-32-1970	69f7dc91-32d1-4359-850f-860aab36e433
TCGA-06-0190-01A	TCGA-06-0190	ba9afa8e-405c-49b7-bc66-8ab1af1f942e
TCGA-06-0190-02A	TCGA-06-0190	9916e085-1027-4c91-9729-93dc36b71c86
TCGA-02-2486-01A	TCGA-02-2486	f241eee0-28ea-4700-ba91-d3d50c2f7e48
TCGA-14-0790-01B	TCGA-14-0790	7dd407eb-da67-45b9-8630-28be882de4cb
TCGA-14-0789-01A	TCGA-14-0789	b8ef3888-aa28-4590-a2d8-d16943b247b5
TCGA-06-0645-01A	TCGA-06-0645	8f3294df-ef44-4b90-b53b-085909f26dcc
TCGA-76-4926-01B	TCGA-76-4926	b4abde15-98d3-4e78-9170-6c372de5c0f3
TCGA-28-5220-01A	TCGA-28-5220	d44fbbb6-168a-4454-aa47-7da08a8949b6
TCGA-27-1835-01A	TCGA-27-1835	3e599f68-2ba6-4fef-99aa-4b0bdf31e9bb
TCGA-19-4065-01A	TCGA-19-4065	61e83633-f517-4616-aae0-71b17b1ea32e
TCGA-06-0678-11A	TCGA-06-0678	ddaed459-ab19-4f75-a1a9-72761287c6f5
TCGA-19-0957-02A	TCGA-19-0957	2458c146-74ef-4c2a-b2b4-1bb6ab5292a9
TCGA-28-2509-01A	TCGA-28-2509	16b32013-0291-458e-b637-f73ccbaee84f
TCGA-14-2554-01A	TCGA-14-2554	8991cf60-96ae-481c-8568-6bc605d5c099
TCGA-06-2563-01A	TCGA-06-2563	232c3577-fe73-4c74-99c8-51c82a6aca1c
TCGA-27-1837-01A	TCGA-27-1837	3a3c6a53-219d-4048-a012-9e9a2594c72d
TCGA-06-6698-01A	TCGA-06-6698	b40da704-9908-4781-b614-70a81787168a
TCGA-27-2528-01A	TCGA-27-2528	5416b72f-7e75-4fab-a0e0-5396b5bf6cbe
TCGA-14-1402-02A	TCGA-14-1402	6a632943-e3a0-4c23-8a94-d18425abaa75
TCGA-32-1982-01A	TCGA-32-1982	6a94fd13-1867-4fc2-aa6d-c0ad48ac4390
TCGA-06-0686-01A	TCGA-06-0686	9553912f-1166-428f-8960-013ca051e2ef
TCGA-06-5858-01A	TCGA-06-5858	2ada884e-1839-4bb0-ba03-7f04085f0a07
TCGA-27-1832-01A	TCGA-27-1832	9790bcec-796f-4ca9-ab62-b40b69d3a222
TCGA-27-1831-01A	TCGA-27-1831	72183176-d844-452e-8736-303686bac768
TCGA-12-5299-01A	TCGA-12-5299	a7260181-c266-427f-abba-4aa318f1710c
TCGA-32-2632-01A	TCGA-32-2632	744c9d5a-ea71-4888-b36b-c1a286715d7b
TCGA-06-2569-01A	TCGA-06-2569	0dfece20-8425-42b1-a50a-fcf81f997351
TCGA-06-0649-01B	TCGA-06-0649	c2cd78e5-babb-4f6f-9988-6bab8c2bd217
TCGA-28-2510-01A	TCGA-28-2510	c5edc8d9-bae8-4841-802c-919dc0d4c055
TCGA-26-5135-01A	TCGA-26-5135	bec610b2-9082-429d-8aef-6cbf3bb7a020
TCGA-28-5213-01A	TCGA-28-5213	155e74da-ebd4-4f87-ac74-7bf9fd74644f
TCGA-06-5415-01A	TCGA-06-5415	51874595-feb0-41a6-811f-dd732cf6c93c
